,,logLik,se,gamma,m,rho,epsilon,omega,c,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
0.0,0,-3769.440673828125,,22.153310775756836,0.051748719066381454,0.0,18.259347915649414,0.00047353605623357,1.0,-0.002354346215724945,3.318939208984375,0.2552518844604492,1.9989526271820068,5.337234020233154,-0.7867306470870972,3.529662847518921,3.8051891326904297,4.0739874839782715,-1.1472342014312744,-4.315248012542725,-3.3394112586975098,-3.5017361640930176,-9.573446273803711,-9.115467071533203
0.0,1,-3861.1923828125,,12.322087287902832,0.033880915492773056,0.0,23.92580795288086,0.08593609184026718,1.0,-0.008607993721961976,3.422140121459961,0.35549378395080566,-3.8696796894073486,-6.0609235763549805,0.33532828092575073,3.4892659187316895,2.963470220565796,5.129134654998779,-3.262488603591919,4.046937942504883,-6.769471645355225,-4.183518886566162,-8.31540584564209,-0.3098239600658417
0.0,2,-3796.523193359375,,19.17896842956543,0.067936971783638,0.0,9.592154502868652,0.009055716916918755,1.0,-0.0022438979148864746,3.1463372707366943,0.26036879420280457,1.92937433719635,5.679741382598877,-2.283569812774658,3.88234281539917,3.558436870574951,4.2564167976379395,-4.607088565826416,-1.7645527124404907,-2.7760674953460693,-5.458588123321533,-4.948131561279297,-11.683252334594727
0.0,3,-3764.49267578125,,18.8554744720459,0.07148361206054688,0.0,6.4267683029174805,0.042931098490953445,1.0,-0.003585386574268341,3.1210899353027344,0.27421244978904724,0.9912074208259583,6.3566718101501465,-3.8796489238739014,3.8609635829925537,3.3286218643188477,4.372260093688965,-1.6376875638961792,-3.8440804481506348,-3.460270881652832,-4.246006011962891,-6.523706436157227,-5.1770172119140625
0.0,4,-3800.671630859375,,14.325631141662598,0.05298976972699165,0.0,8.066069602966309,0.000244948489125818,1.0,-0.005893719792366028,2.75231671333313,0.2829166352748871,-0.0862872377038002,6.068517684936523,-4.31699800491333,4.149662971496582,2.9513518810272217,4.53908634185791,-3.5468008518218994,2.153738498687744,-12.252717971801758,-2.477355480194092,-8.299695014953613,-5.271152496337891
0.0,5,-3761.28173828125,,18.288442611694336,0.05970850959420204,0.0,11.309301376342773,0.42248299717903137,1.0,-0.004413981735706329,2.9962620735168457,0.2821691036224365,0.9781332015991211,5.980456829071045,-2.915601968765259,3.2884693145751953,3.704144239425659,4.105895042419434,-1.7407242059707642,-2.232775926589966,-4.754398345947266,-3.0389206409454346,-9.265913009643555,-3.6753549575805664
0.0,6,-3823.91552734375,,23.126205444335938,0.04919416457414627,0.0,16.20268440246582,0.002389887347817421,1.0,-0.002431590259075165,3.8614325523376465,0.2839202880859375,2.434187650680542,5.0846052169799805,-0.17245595157146454,3.403435468673706,3.855323314666748,3.957353115081787,-8.677099227905273,-7.340023040771484,-1.8325893878936768,-4.591187953948975,-7.471118450164795,-4.319437026977539
0.0,7,-3804.365234375,,21.95280647277832,0.08171267062425613,0.0,6.576361656188965,0.00011347195686539635,1.0,-0.0013780060410499572,3.427126407623291,0.2934785485267639,2.6153674125671387,4.800152778625488,0.3224315643310547,3.184128522872925,3.953606128692627,3.7991786003112793,-5.566792964935303,-7.525897026062012,-2.8438806533813477,-5.0130181312561035,-5.94356632232666,-9.995457649230957
0.0,8,-3794.875244140625,,17.722410202026367,0.04956769570708275,0.0,11.082311630249023,0.00941050797700882,1.0,-0.00272303432226181,2.9958221912384033,0.3245651423931122,1.7793556451797485,5.676933765411377,-2.2053141593933105,3.586458683013916,3.6173322200775146,4.164222240447998,-7.3415632247924805,-6.2463884353637695,-3.0695056915283203,-3.6091792583465576,-8.766876220703125,-9.901041984558105
0.0,9,-3795.69580078125,,19.141510009765625,0.05260276794433594,0.0,9.010198593139648,0.0027827478479593992,1.0,-0.0025384318828582763,2.7973437309265137,0.3391772210597992,1.5104762315750122,6.288538932800293,-4.161533355712891,3.8901607990264893,3.3830292224884033,4.346338748931885,-6.047799110412598,-10.264522552490234,-1.3016984462738037,-5.09639835357666,-4.848292350769043,-9.92158031463623
0.0,10,-3767.18896484375,,17.797561645507812,0.05983608588576317,0.0,9.401450157165527,0.010517064481973648,1.0,-0.00410982221364975,2.8472728729248047,0.2907596230506897,0.8061919212341309,6.287863731384277,-3.6704652309417725,3.8646347522735596,3.4202070236206055,4.241976261138916,-1.412770390510559,-5.997691631317139,-3.9046828746795654,-3.441108465194702,-11.668174743652344,-2.251781702041626
0.0,11,-3843.90869140625,,18.060850143432617,0.05809483304619789,0.0,7.107105255126953,0.012540824711322784,1.0,-0.001698751300573349,3.692584753036499,0.2907983958721161,1.7838366031646729,5.255547046661377,-1.7761152982711792,3.879101276397705,3.41172456741333,4.011284351348877,-10.70169734954834,-12.46148681640625,-1.7337520122528076,-5.139251232147217,-12.11103630065918,-6.148715972900391
