"","week","cases"
"1",1,7300
"2",2,11453
"3",3,7618
"4",4,16809
"5",5,21439
"6",6,18693
"7",7,17416
"8",8,18386
"9",9,25064
"10",10,22652
"11",11,17181
"12",12,13688
"13",13,12152
"14",14,12007
"15",15,10622
"16",16,8099
"17",17,7077
"18",18,6926
"19",19,6336
"20",20,5980
"21",21,6004
"22",22,6153
"23",23,5099
"24",24,4602
"25",25,4095
"26",26,4075
"27",27,4285
"28",28,4563
"29",29,5708
"30",30,6347
"31",31,6063
"32",32,7087
"33",33,12465
"34",34,14367
"35",35,12815
"36",36,11588
"37",37,10338
"38",38,9163
"39",39,7851
"40",40,9076
"41",41,7191
"42",42,6762
"43",43,5304
"44",44,4329
"45",45,3961
"46",46,4416
"47",47,4889
"48",48,5179
"49",49,5274
"50",50,5592
"51",51,6120
"52",52,6163
"53",53,5886
"54",54,6295
"55",55,5042
"56",56,4505
"57",57,3617
"58",58,3013
"59",59,2029
"60",60,1617
"61",61,1463
"62",62,1087
"63",63,1025
"64",64,1218
"65",65,1069
"66",66,924
"67",67,860
"68",68,805
"69",69,823
"70",70,812
"71",71,729
"72",72,766
"73",73,741
"74",74,680
"75",75,749
"76",76,833
"77",77,913
"78",78,1356
"79",79,1440
"80",80,1912
"81",81,2780
"82",82,2888
"83",83,3784
"84",84,3760
"85",85,2765
"86",86,2464
"87",87,2625
"88",88,2274
"89",89,1636
"90",90,1753
"91",91,1580
"92",92,1457
"93",93,1332
"94",94,1283
"95",95,1282
"96",96,1390
"97",97,1395
"98",98,1462
"99",99,1906
"100",100,1733
"101",101,1756
"102",102,1886
"103",103,2140
"104",104,2169
"105",105,2758
"106",106,3109
"107",107,3561
"108",108,3412
"109",109,3585
"110",110,3883
"111",111,3500
"112",112,3493
"113",113,3297
"114",114,2645
"115",115,2141
"116",116,2391
"117",117,1884
"118",118,1406
"119",119,1132
"120",120,1232
"121",121,1179
"122",122,1087
"123",123,969
"124",124,933
"125",125,874
"126",126,746
"127",127,737
"128",128,676
"129",129,653
"130",130,684
"131",131,606
"132",132,624
"133",133,628
"134",134,687
"135",135,728
"136",136,804
"137",137,1056
"138",138,1110
"139",139,1012
"140",140,1013
"141",141,866
"142",142,1083
"143",143,1189
"144",144,1297
"145",145,1182
"146",146,1227
"147",147,1219
"148",148,1160
"149",149,1246
"150",150,1100
"151",151,1210
"152",152,1534
"153",153,1500
"154",154,1400
"155",155,1434
"156",156,1530
"157",157,1703
"158",158,1618
"159",159,1694
"160",160,1784
"161",161,1812
"162",162,1457
"163",163,1311
"164",164,983
"165",165,661
"166",166,553
"167",167,470
"168",168,443
"169",169,352
"170",170,292
"171",171,274
"172",172,325
"173",173,345
"174",174,354
"175",175,310
"176",176,219
"177",177,184
"178",178,198
"179",179,214
"180",180,192
"181",181,208
"182",182,197
"183",183,202
"184",184,214
"185",185,175
"186",186,151
"187",187,218
"188",188,209
"189",189,214
"190",190,209
"191",191,201
"192",192,197
"193",193,295
"194",194,247
"195",195,289
"196",196,229
"197",197,229
"198",198,197
"199",199,191
"200",200,235
"201",201,248
"202",202,250
"203",203,278
"204",204,412
"205",205,461
"206",206,617
"207",207,739
"208",208,879
"209",209,1059
"210",210,1246
"211",211,1434
"212",212,1936
"213",213,1671
"214",214,1798
"215",215,1516
"216",216,1309
"217",217,1900
"218",218,1392
"219",219,950
"220",220,1001
"221",221,943
"222",222,745
"223",223,882
"224",224,1284
"225",225,1034
"226",226,1092
"227",227,1004
"228",228,985
